fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
5,30,0.03,0.02,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,40,0.01,0.02,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,40,0.01,0.04,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,30,0.03,0.06,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,30,0.03,0.04,ema,IS,1808,452,42.0873,0.4209,0.2323,0.093114,55.2682,8.1448,-2.3433,-18.6286,1.1596,1.5408,3.1267,0.4061
5,40,0.01,0.06,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,40,0.02,0.04,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,40,0.02,0.06,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,40,0.02,0.02,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,40,0.03,0.02,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
5,50,0.01,0.02,ema,IS,1344,336,-22.0726,-0.2207,0.1935,-0.065692,103.4927,10.9761,-2.7141,-19.4282,1.0561,0.4109,0.88,0.5263
5,40,0.03,0.04,ema,IS,1536,384,62.7175,0.6272,0.2135,0.163327,53.3783,9.727,-2.4334,-12.751,1.1834,1.6451,3.1794,0.4045
